BusType, CANFD/LIN-id,    length,    brs,    dword0,    dword1,    dword2,    dword3,    dword4,    dword5,    dword6,    dword7
CANFD, 0x1d3c0000, 15, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x1ffc0000, 15, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x48c0000, 15, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x1d3c0000, 15, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x1ffc0000, 15, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x48c0000, 15, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x1ffc0000, 15, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
CANFD, 0x1d3c0000, 15, 1,0xeeff1122,0x33447788,0x53866876,0x87867867,0x87876879,0x89897897,0x0,0x0
CANFD, 0x48c0000, 15, 1,0x7f321321,0x32324234,0xee0,0x23,0x40000ff0,0x0,0x234ad00,0x0
CANFD, 0x1ffc0000, 15, 1,0xaa123212,0x54335435,0x0,0x0,0x0,0x0,0x0,0x0
